,end station name,end station latitude,end station longitude,rides
73,32 St & 30 Ave,40.7664255270288,-73.92062902450563,299
74,333 Johnson TEST 1,0.0,0.0,1
75,34 Ave & 13 St,40.763875299999995,-73.9364848,713
76,34 Ave & 21 St,40.762813799999996,-73.9342862,1705
77,34 Ave & 38 St,40.756913,-73.921631,3900
78,34 St & 35 Ave,40.756933200000006,-73.92622309999999,3392
79,35 Ave & 10 St,40.763154819103725,-73.93985509872438,890
80,35 Ave & 37 St,40.7557327,-73.92366109999999,2757
81,35 St & 34 Ave,40.7580583,-73.92427509999999,1683
82,35 St & Broadway,40.760339,-73.9222427,2222
83,36 Ave & 10 St,40.7614376,-73.9411265,2043
84,37 Ave & 35 St,40.7531106,-73.9279917,2011
85,37 St & 24 Ave,40.7701477,-73.9120938,1762
86,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,2126
87,4 Ave & 2 St,40.674613422475815,-73.98501142859459,5865
88,4 Ave & 9 St,40.6705135,-73.98876585,10270
89,40 Ave & 9 St,40.75742,-73.945133,441
90,43 St & Broadway,40.7577284,-73.9166368,2288
91,44 Dr & 21 St,40.748000000000005,-73.94609270000001,3875
92,44 Dr & Jackson Ave,40.74718234,-73.9432635,12399
93,45 Rd & 11 St,40.74708586,-73.94977234,11029
94,46 Ave & 5 St,40.74731,-73.95451,13995
95,47 Ave & 31 St,40.743,-73.93561,4249
96,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,915
97,48 Ave & 5 St,40.74436328706688,-73.95587325096129,6226
98,49 Ave & 21 St,40.74252,-73.948852,1667
99,5 Ave & 3 St,40.672815500000006,-73.98352355,15171
100,5 Ave & E 103 St,40.792255299999994,-73.95249933,17847
101,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,1681
102,5 Ave & E 29 St,40.7451677,-73.98683077,49997
103,5 Ave & E 63 St,40.766368,-73.971518,21623
104,5 Ave & E 73 St,40.77282817,-73.96685276,48053
105,5 Ave & E 78 St,40.77632142182271,-73.96427392959596,33128
106,5 Ave & E 88 St,40.78307,-73.95939,44952
107,5 Ave & E 93 St,40.785785100000005,-73.957481,15231
108,5 Corners Library,40.73496102000952,-74.05950307846071,1
109,5 St & 51 Ave,40.7423737,-73.9566,871
110,5 St & 6 Ave,40.670483600000004,-73.98208968,6262
111,6 Ave & 12 St,40.666318100000005,-73.9854617,6154
112,6 Ave & 9 St,40.668127,-73.98377641,10735
113,6 Ave & Canal St,40.72243797,-74.00566443,44526
114,6 Ave & Spring St,40.7252556952547,-74.00412082672119,25933
115,6 Ave & W 33 St,40.74901271,-73.98848395,74169
116,6 St & 7 Ave,40.668662700000006,-73.97988067,6553
117,7 Ave & Park Pl,40.67761470000001,-73.97324283,8956
118,7 St & 3 Ave,40.67260298150126,-73.98983001708984,5513
119,7 St & 5 Ave,40.670492200000005,-73.98541675,7792
120,8 Ave & W 16 St,40.740983,-74.00170200000001,34673
121,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,95002
122,8 Ave & W 33 St,40.751551,-73.993934,86846
123,8 Ave & W 52 St,40.76370739,-73.9851615,43409
124,8D Mobile 01,45.50585063876722,-73.56910943984984,65
125,8D Mobile 01,45.506264191001186,-73.56890559196472,65
126,8D OPS 01,40.880920555238774,-73.89660179615021,13
127,8D QC Station 01,45.506364054011385,-73.5694634914398,20
128,9 Ave & W 18 St,40.74317449,-74.00366443,28729
129,9 Ave & W 22 St,40.7454973,-74.00197139,62876
130,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,34761
131,9 Ave & W 45 St,40.76019252,-73.9912551,61092
132,9 St & 44 Rd,40.74966,-73.9521,3021
133,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,3471
134,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,2523
135,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,4469
136,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,1460
137,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,15264
138,Adventures NYC,40.77376867022874,-73.97116988897324,58
139,Albany Ave & Fulton St,40.6800105,-73.938475,2575
140,Allen St & Hester St,40.71605866,-73.99190759,43378
141,Allen St & Rivington St,40.72019576,-73.98997825,49811
142,Allen St & Stanton St,40.722055,-73.989111,50265
143,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,5735
144,Amsterdam Ave & W 125 St,40.813358,-73.956461,2840
145,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,16514
146,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,49409
147,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,27449
148,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,27595
149,Apache,40.669767091850034,-73.99474382400513,3
150,Astor Place,40.71928220070703,-74.07126188278198,1
151,Astoria Park S & Shore Blvd,40.7767,-73.927631,2094
152,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,17070
153,Atlantic Ave & Furman St,40.69165183,-73.99997859999999,21912
154,Avenue D & E 12 St,40.72580614,-73.97422494,10604
155,Avenue D & E 3 St,40.72082834,-73.97793172,21264
156,Avenue D & E 8 St,40.72368361,-73.97574813,15322
157,Baltic St & 5 Ave,40.6795766,-73.97854971,12930
158,Bank St & Hudson St,40.73652889,-74.00618026,41635
159,Bank St & Washington St,40.7361967,-74.00859207,26656
160,Banker St & Meserole Ave,40.72606,-73.95621,15465
161,Barclay St & Church St,40.71291224,-74.01020234,48280
162,Barrow St & Hudson St,40.73172428,-74.00674436,60288
163,Bayard St & Baxter St,40.71602118,-73.99974372,36096
164,Bayard St & Leonard St,40.71915571696044,-73.94885390996933,7058
165,Bedford Ave & Bergen St,40.676368,-73.95291800000001,2995
166,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,27161
167,Bedford Ave & S 9 St,40.70853074,-73.96408963,4084
168,Bergen St & Flatbush Ave,40.680944723477296,-73.97567331790923,13076
169,Bergen St & Smith St,40.686744299999994,-73.99063168,34608
170,Bergen St & Vanderbilt Ave,40.6794388,-73.96804379999999,5582
171,Berkeley Pl & 6 Ave,40.6765304,-73.97846879,8914
172,Berkeley Pl & 7 Ave,40.675146838709786,-73.9752320945263,16263
173,Berry St & N 8 St,40.7190095,-73.95852515,25569
174,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,15434
175,Bike The Branches - Central Branch,40.67280641227746,-73.96886587142943,4
176,Boerum St & Broadway,40.70538077,-73.94976519,5956
177,Bond St & Bergen St,40.6849668,-73.98620772,10976
178,Bond St & Fulton St,40.68962188790333,-73.98304268717766,22487
179,Bond St & Schermerhorn St,40.68807003,-73.98410637,6038
180,Bressler,40.646538367096475,-74.0165877342224,143
181,Broad St & Bridge St,40.70365182,-74.01167797,15552
182,Broadway & 12 St,40.7668,-73.93477740000002,1847
183,Broadway & Battery Pl,40.70463334,-74.01361706,56429
184,Broadway & Berry St,40.71044554,-73.96525063,20129
185,Broadway & E 14 St,40.73454567,-73.99074142,93727
186,Broadway & E 22 St,40.740343200000005,-73.98955109,114480
187,Broadway & Moylan Pl,40.8143256,-73.9590255,6265
188,Broadway & Roebling St,40.70924826276157,-73.96063148975372,15593
189,Broadway & W 122 St,40.8120562,-73.9612547,3660
190,Broadway & W 24 St,40.742354299999995,-73.98915076,33024
191,Broadway & W 25 St,40.74286877312112,-73.98918628692627,40431
192,Broadway & W 29 St,40.7462009,-73.98855723,55814
193,Broadway & W 32 St,40.74854862,-73.98808416,54637
194,Broadway & W 36 St,40.75097711,-73.98765428,41896
195,Broadway & W 37 St,40.75172632,-73.98753523,23964
196,Broadway & W 38 St,40.75299641,-73.98721619,17630
197,Broadway & W 41 St,40.75513557,-73.98658032,70613
198,Broadway & W 49 St,40.76068327096592,-73.98452728986742,58855
199,Broadway & W 51 St,40.76228826,-73.98336183,35494
200,Broadway & W 53 St,40.76344058,-73.98268129,33908
201,Broadway & W 56 St,40.7652654,-73.98192338,46426
202,Broadway & W 58 St,40.76695317,-73.98169333,68647
203,Broadway & W 60 St,40.76915505,-73.98191841,75059
204,Broadway & Whipple St,40.7016657,-73.9437303,8017
205,Brooklyn Bridge Park - Pier 2,40.69878,-73.99712,13404
206,Brunswick St,40.7241765,-74.05065640000001,1
207,Bus Slip & State St,40.701907,-74.013942,24861
208,Bushwick Ave & Powers St,40.71247661,-73.94100005,10286
209,Butler St & Court St,40.6849894,-73.99440329,8959
210,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,21833
211,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,14388
212,Cadman Plaza West & Montague St,40.69383,-73.990539,16774
213,Cambridge Pl & Gates Ave,40.68488,-73.96304,7003
214,Canal St & Rutgers St,40.71427487,-73.98990025,44301
215,Carlton Ave & Dean St,40.68097410000001,-73.97100970000001,4360
216,Carlton Ave & Flushing Ave,40.697787,-73.973736,14369
217,Carlton Ave & Park Ave,40.69580705,-73.97355569,8390
218,Carmine St & 6 Ave,40.73038599,-74.00214988,82865
219,Carroll St & 5 Ave,40.6751622,-73.9814832,11329
220,Carroll St & 6 Ave,40.6740886,-73.9787282,11396
221,Carroll St & Bond St,40.6786115,-73.99037292,10557
222,Carroll St & Columbia St,40.6830456,-74.00348559,9745
223,Carroll St & Franklin Ave,40.6679411,-73.9588,714
224,Carroll St & Smith St,40.680611,-73.99475825,18350
225,Carroll St & Washington Ave,40.6686744,-73.9618148,1241
226,Cathedral Pkwy & Broadway,40.804213,-73.96699104,22843
227,Catherine St & Monroe St,40.71117444,-73.99682619,21278
228,Center Blvd & 48 Ave,40.745038,-73.957539,3406
229,Center Blvd & Borden Ave,40.741609999999994,-73.96044,5423
230,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,40611
231,Central Park S & 6 Ave,40.76590936,-73.97634151,76375
232,Central Park W & W 96 St,40.791270000000004,-73.964839,25861
233,Central Park West & W 100 St,40.793393,-73.96355559999999,11979
234,Central Park West & W 100 St,40.794066608185524,-73.96286845207214,6011
235,Central Park West & W 102 St,40.795346,-73.96186,10422
236,Central Park West & W 68 St,40.7734066,-73.97782542,41132
237,Central Park West & W 72 St,40.77579376683666,-73.97620573639871,49112
238,Central Park West & W 76 St,40.77896784,-73.97374737,28421
239,Central Park West & W 85 St,40.78472675,-73.96961715,37478
240,Centre St & Chambers St,40.71273266,-74.0046073,73547
241,Centre St & Worth St,40.71494807,-74.00234482,26763
242,Cherry St,40.71219906,-73.97948148,17254
243,Christopher St & Greenwich St,40.73291553,-74.00711384,79479
244,City Hall,40.717732500000004,-74.04384499999999,4
245,Clark St & Henry St,40.69760127,-73.99344559,22055
246,Classon Ave & St Marks Ave,40.676519799999994,-73.9596082,4468
247,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,6904
248,Clermont Ave & Park Ave,40.69573398,-73.97129668,5481
249,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,75637
250,Cliff St & Fulton St,40.70823502,-74.00530063,25905
251,Clinton Ave & Flushing Ave,40.69794,-73.96986848,12712
252,Clinton Ave & Myrtle Ave,40.693261,-73.968896,21792
253,Clinton St & 4 Place,40.6783563,-74.00014502,10598
254,Clinton St & Centre St,40.67434,-74.00194698,2379
255,Clinton St & Grand St,40.71559509,-73.9870295,29554
256,Clinton St & Joralemon St,40.69239502,-73.99337909,22279
257,Clinton St & Tillary St,40.696191999999996,-73.991218,14385
258,Clinton St & Union St,40.683116399999996,-73.99785267,10698
259,Coffey St & Conover St,40.677236,-74.015665,5766
260,Columbia Heights & Cranberry St,40.70037867,-73.99548059,6999
261,Columbia St & Degraw St,40.6859296,-74.00242364,11228
262,Columbia St & Kane St,40.68763155,-74.0016256,10763
263,Columbia St & Lorraine St,40.6747055,-74.00755720000001,1384
264,Columbia St & Rivington St,40.71739973,-73.98016555,19031
265,Columbia St & W 9 St,40.6769993,-74.00647134,1633
266,Columbus Ave & W 103 St,40.7969347,-73.9643412291,3601
267,Columbus Ave & W 72 St,40.7770575,-73.97898475,45779
268,Columbus Ave & W 95 St,40.7919557,-73.968087,21675
269,Columbus Drive,40.71835519823214,-74.03891444206238,3
270,Commerce St & Van Brunt St,40.681211700000006,-74.00860912,4190
271,Communipaw & Berry Lane,40.71435836870427,-74.06661093235016,1
272,Concord St & Bridge St,40.69766564,-73.98476437,8057
273,Congress St & Clinton St,40.6881529,-73.99520919,13609
274,Convent Ave & W 129 St,40.81413,-73.953005,45
275,Cooper Square & Astor Pl,40.729514962249496,-73.99075269699097,45426
276,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,30896
277,Court St & Nelson St,40.6763947,-73.99869893,9351
278,Court St & State St,40.6902375,-73.99203074,22969
279,Crescent St & 30 Ave,40.768692,-73.9249574,3079
280,Crescent St & 34 Ave,40.76108,-73.930562,1343
281,Crescent St & 35 Ave,40.7596276,-73.93214549999999,1834
282,Crescent St & Broadway,40.7633589,-73.92864709999999,3110
283,Crescent St & Ditmars Blvd,40.7787185,-73.9145645,1791
284,Crown St & Bedford Ave,40.666563000000004,-73.95674100000001,547
285,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,12947
286,DeKalb Ave & Hudson Ave,40.689888,-73.981013,30878
287,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,12967
288,DeKalb Ave & Skillman St,40.6906495,-73.95643107,7372
289,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,14327
290,Dean St & 4 Ave,40.68312489,-73.97895137,23024
291,Dean St & Franklin Ave,40.67759206937376,-73.95563721656801,901
292,Dean St & Hoyt St,40.686444200000004,-73.98759104,8723
293,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,5187
294,Degraw St & Smith St,40.6829151,-73.99318208,8189
295,Devoe St & Lorimer St,40.71335226222875,-73.9491033554077,12947
296,Dey St,40.737711,-74.066921,4
297,Ditmars Blvd & 19 St,40.78145,-73.9183302,2540
298,Division Ave & Hooper St,40.70691254,-73.95441667,5946
299,Division Ave & Marcy Ave,40.70708701,-73.95796783,2478
300,Division St & Bowery,40.71413089,-73.99704679999999,32133
301,Dixon Mills,40.72163014263835,-74.04996782541275,2
302,Douglass St & 3 Ave,40.6802133,-73.98432695,12340
303,Douglass St & 4 Ave,40.67927879999999,-73.98154004,10513
304,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001,11198
305,Driggs Ave & N Henry St,40.72325,-73.94308000000001,13954
306,Duane St & Greenwich St,40.71748752,-74.0104554,23356
307,Duffield St & Willoughby St,40.69221589,-73.9842844,16292
308,Dwight St & Van Dyke St,40.67363551341504,-74.01195555925368,2882
309,E 10 St & 5 Ave,40.73331967,-73.99510132,28032
310,E 10 St & Avenue A,40.72740794,-73.98142006,56154
311,E 102 St & 1 Ave,40.7869946,-73.94164802,16355
312,E 102 St & Park Ave,40.7904828,-73.95033068,5964
313,E 103 St & Lexington Ave,40.790305100000005,-73.94755757,9235
314,E 106 St & 1 Ave,40.7892529,-73.93956237,5587
315,E 106 St & Lexington Ave,40.791976,-73.945993,4549
316,E 106 St & Madison Ave,40.79343370000001,-73.94945003,5675
317,E 109 St & 3 Ave,40.79329668,-73.9432083,7311
318,E 11 St & 1 Ave,40.72953837,-73.98426726,45322
319,E 11 St & 2 Ave,40.73047309,-73.98672378,54761
320,E 11 St & Broadway,40.73261787,-73.99158043,27743
321,E 110 St & Madison Ave,40.796153499999996,-73.94782145,12311
322,E 114 St & 1 Ave,40.79456629999999,-73.9362541,1882
323,E 115 St & Lexington Ave,40.797911,-73.9423,2562
324,E 115 St & Madison Ave,40.7989445,-73.944846,2038
325,E 116 St & 2 Ave,40.796879,-73.93726099999999,1813
326,E 118 St & 1 Ave,40.797470000000004,-73.93504,1794
327,E 118 St & 3 Ave,40.799139000000004,-73.9389152,2375
328,E 118 St & Madison Ave,40.801486600000004,-73.9442507,1917
329,E 118 St & Park Ave,40.8005385,-73.9419949,827
330,E 12 St & 3 Ave,40.73223272,-73.98889957,58110
331,E 12 St & Avenue B,40.728048571362606,-73.97881150245668,28097
332,E 123 St & Lexington Ave,40.802926299999996,-73.9379,2334
333,E 128 St & Madison Ave,40.807559999999995,-73.93918199999999,1932
334,E 13 St & Avenue A,40.72955361,-73.98057249,54512
335,E 14 St & Avenue B,40.72938685,-73.97772429,7109
336,E 15 St & 3 Ave,40.734232,-73.986923,56928
337,E 16 St & 5 Ave,40.73726186,-73.99238967,61009
338,E 16 St & Irving Pl,40.735367055605394,-73.98797392845155,38112
339,E 17 St & Broadway,40.73704984,-73.99009296,115256
340,E 19 St & 3 Ave,40.73624527,-73.98473765,37941
341,E 2 St & 2 Ave,40.72502876,-73.99069656,39955
342,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,11373
343,E 2 St & Avenue B,40.72217444,-73.98368779,43954
344,E 2 St & Avenue C,40.720873600000004,-73.98085795,25977
345,E 20 St & 2 Ave,40.73587678,-73.98205027,51875
346,E 20 St & FDR Drive,40.73314259,-73.97573881,45207
347,E 20 St & Park Ave,40.73827428,-73.98751968,47400
348,E 23 St & 1 Ave,40.736502,-73.97809472,53151
349,E 24 St & Park Ave S,40.74096374,-73.98602213,61698
350,E 25 St & 1 Ave,40.7381765,-73.97738662,37794
351,E 25 St & 2 Ave,40.73912601,-73.97973776,53204
352,E 27 St & 1 Ave,40.739445,-73.97680600000001,35540
353,E 3 St & 1 Ave,40.72467721,-73.98783413,26323
354,E 30 St & Park Ave S,40.74444921,-73.98303529,43873
355,E 31 St & 3 Ave,40.74394314,-73.97966069,45562
356,E 32 St & Park Ave,40.745712100000006,-73.98194829,58710
357,E 33 St & 2 Ave,40.744023,-73.976056,60008
358,E 33 St & 5 Ave,40.74765947,-73.98490707,47990
359,E 35 St & 3 Ave,40.746524,-73.977885,30787
360,E 39 St & 2 Ave,40.74780373,-73.97344190000001,52891
361,E 39 St & 3 Ave,40.7489006,-73.97604882,41063
362,E 4 St & 2 Ave,40.726280700000004,-73.98978041,49425
363,E 40 St & 5 Ave,40.752062306999996,-73.9816324043,14771
364,E 41 St & 5 Ave,40.75272201381188,-73.98123621940613,11674
365,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,34925
366,E 43 St & 5 Ave,40.754120810779256,-73.98025184869765,3888
367,E 44 St & 2 Ave,40.75118387463277,-73.97138714790343,18594
368,E 45 St & 3 Ave,40.75255434,-73.97282625,34045
369,E 47 St & 1 Ave,40.75206862,-73.96784384,18698
370,E 47 St & 2 Ave,40.75323098,-73.97032517,26317
371,E 47 St & Park Ave,40.75510267,-73.97498696,67893
372,E 48 St & 3 Ave,40.7546011026,-73.971878855,23053
373,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,53008
374,E 5 St & Avenue C,40.72299208,-73.97995466,20970
375,E 51 St & 1 Ave,40.75455731,-73.96592976,20567
376,E 51 St & Lexington Ave,40.75714758,-73.97207836,29719
377,E 52 St & 2 Ave,40.756014,-73.967416,32769
378,E 53 St & 3 Ave,40.75763227739443,-73.9693057537079,27555
379,E 53 St & Madison Ave,40.75971079999999,-73.97402311,32477
380,E 55 St & 2 Ave,40.75797322,-73.96603308,28399
381,E 55 St & 3 Ave,40.758996559605116,-73.96865397691727,38742
382,E 55 St & Lexington Ave,40.75968085,-73.97031366,19945
383,E 58 St & 1 Ave,40.75892386377695,-73.96226227283478,22227
384,E 58 St & 3 Ave,40.76095756,-73.96724467,41560
385,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,9703
386,E 59 St & Madison Ave,40.76350532,-73.97109243,27082
387,E 6 St & Avenue B,40.72453734,-73.98185424,38596
388,E 6 St & Avenue D,40.72228087,-73.97668709,19458
389,E 60 St & York Ave,40.759107,-73.959223,9413
390,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,14485
391,E 66 St & Madison Ave,40.768008893059466,-73.96845281124116,8908
392,E 67 St & Park Ave,40.76780080148132,-73.96592080593109,12320
393,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,12763
394,E 68 St & Madison Ave,40.7691572,-73.96703464,9151
395,E 7 St & Avenue A,40.72621788,-73.98379855,74363
396,E 71 St & 1 Ave,40.76703432309872,-73.95622730255127,20031
397,E 72 St & Park Ave,40.77118287540658,-73.96409422159195,15937
398,E 72 St & York Ave,40.76663814,-73.95348296,28016
399,E 74 St & 1 Ave,40.7689738,-73.95482273,22111
400,E 75 St & 3 Ave,40.77112927,-73.95772297,14243
401,E 76 St & 3 Ave,40.772248537721744,-73.95842134952545,13083
402,E 76 St & Park Ave,40.773763,-73.96222088,15240
403,E 78 St & 2 Ave,40.7727966,-73.95577801,10940
404,E 80 St & 2 Ave,40.77391390238118,-73.9543953537941,12727
405,E 81 St & 2 Ave,40.77477944895728,-73.95427465438844,3063
406,E 81 St & 3 Ave,40.77573034,-73.9567526,16701
407,E 81 St & Park Ave,40.77677702,-73.95900970000001,5830
408,E 81 St & York Ave,40.7728384,-73.94989233,18121
409,E 82 St & East End Ave,40.77246067789397,-73.94682079553606,5317
410,E 82 St & East End Ave,40.7724607,-73.9468208,3808
411,E 84 St & 1 Ave,40.77565541,-73.95068615,12334
412,E 84 St & Park Ave,40.77862688,-73.95772073,16008
413,E 85 St & 3 Ave,40.77801203,-73.95407149,35716
414,E 85 St & York Ave,40.77536905,-73.94803392,16361
415,E 88 St & 1 Ave,40.778301,-73.9488134,16379
416,E 88 St & Park Ave,40.781410700190015,-73.95595908164978,10264
417,E 89 St & 3 Ave,40.7806284,-73.9521667,17220
418,E 89 St & York Ave,40.7779453,-73.94604100000001,13281
419,E 9 St & Avenue C,40.72521311,-73.97768752,34292
420,E 91 St & 2 Ave,40.781122299341654,-73.94965589046478,21830
421,E 91 St & Park Ave,40.7835016,-73.955327,11090
422,E 93 St & 2 Ave,40.78245417527987,-73.94891962409021,6770
423,E 95 St & 3 Ave,40.7849032,-73.950503,6568
424,E 97 St & 3 Ave,40.7859201,-73.94860294,4188
425,E 97 St & Madison Ave,40.787801,-73.953559,17709
426,E 98 St & Lexington Ave,40.787285198609524,-73.95012259483337,731
427,E 98 St & Park Ave,40.788129999999995,-73.95206,568
428,East End Ave & E 86 St,40.77518615,-73.94446054,7600
429,Eastern Pkwy & Franklin Ave,40.670776700000005,-73.9576801,5335
430,Eastern Pkwy & Washington Ave,40.6716493,-73.9631145,3713
431,Eckford St & Engert Ave,40.72146256229816,-73.94800901412964,5504
432,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,13421
433,Essex Light Rail,40.712774200000005,-74.03648570000001,32
434,Exchange Place,40.7162469,-74.0334588,17
435,Expansion Warehouse 333 Johnson Ave,40.707731483954696,-73.93452286720277,23
436,FDR Drive & E 35 St,40.744219,-73.97121214,43879
437,Flushing Ave & Vanderbilt Ave,40.69795031569544,-73.97077560424805,5365
438,Forsyth St & Broome St,40.71893904,-73.99266288,49351
439,Forsyth St & Canal St,40.715815500000005,-73.99422366,41114
440,Franklin Ave & Empire Blvd,40.663140000000006,-73.96056949999999,4496
441,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,1408
442,Franklin Ave & Myrtle Ave,40.694546087246025,-73.95801365375519,4939
443,Franklin Ave & St Marks Ave,40.6758324,-73.95616770000001,4597
444,Franklin St & Dupont St,40.735640000000004,-73.95866,10750
445,Franklin St & W Broadway,40.71911552,-74.00666661,27009
